"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"sleep_disorder",2.315347535989,0.0897041434181987,9.35920870337218,4.64067930446349e-15,1.93755166763054,2.76680839121372,"cvd_composite","sleep_disorder","Crude","sleep_disorder",2.78440758267809e-14
"sleep_disorder",2.41027987505876,0.0951944182840652,9.24153839424164,1.30564513044791e-14,1.9948402438112,2.91223775645017,"cvd_composite","sleep_disorder","M1","sleep_disorder",7.83387078268749e-14
"sleep_disorder",1.98231271613095,0.0964141693692495,7.09713319117669,4.37634741065642e-10,1.63628797634171,2.4015110795594,"cvd_composite","sleep_disorder","M2","sleep_disorder",2.62580844639385e-09
"sleep_disorder",1.60966100837692,0.127317728261691,3.73886346797852,0.000356162425788422,1.24913132648794,2.07424832517321,"cvd_composite","sleep_disorder","M3","sleep_disorder",0.00213697455473053
"DII",1.2056008573218,0.0291045211107612,6.42436543568651,5.57177714901214e-09,1.13789750827248,1.27733246325644,"cvd_chf","DII","Crude","DII_cont",NA
"DII",1.21089237571568,0.030025510050795,6.37316695225077,8.25901289771303e-09,1.14075257324343,1.28534476270997,"cvd_chf","DII","M1","DII_cont",NA
"DII",1.12525008104478,0.0308491451473438,3.82523744664798,0.000255753043728255,1.05825908258156,1.1964818121877,"cvd_chf","DII","M2","DII_cont",NA
"DII",1.08450142692033,0.0501371956960871,1.61796777617803,0.109812687134902,0.981437924931982,1.19838791136356,"cvd_chf","DII","M3","DII_cont",NA
"DII_QQ2",2.25997711792352,0.220012586887805,3.70594564590127,0.000361356954272879,1.4598398123639,3.49866918978419,"cvd_chf","DII_Q","Crude","DII_Q",NA
"DII_QQ3",2.50368480453514,0.201765291003302,4.54866921841675,1.66125267797962e-05,1.67695827858183,3.7379806525427,"cvd_chf","DII_Q","Crude","DII_Q",NA
"DII_QQ4",2.8059365851631,0.203055120962671,5.08107048374573,1.98919480239653e-06,1.8745962976661,4.19998702107707,"cvd_chf","DII_Q","Crude","DII_Q",5.96758440718959e-06
"DII_QQ2",2.26830716496763,0.223283697477946,3.66813081400665,0.000422637125748493,1.45522497559435,3.53568519021747,"cvd_chf","DII_Q","M1","DII_Q",NA
"DII_QQ3",2.48417560274428,0.205910632657768,4.41910572253579,2.87575903225284e-05,1.64971750641312,3.74071827526848,"cvd_chf","DII_Q","M1","DII_Q",NA
